id,name,date,time,location,category,description,ticketLink,image,status
70,Winter Jazz at The Birdcage,2025-12-21,19:00,The Birdcage Norwich,gigs,Cozy Saturday night jazz session featuring local musicians. Perfect way to start your weekend with smooth tunes and drinks.,,,approved
71,Saturday Night DnB at Epic,2025-12-21,22:00,Epic Studios,nightlife,Drum & Bass night with local DJs spinning the latest jungle and liquid tracks. 18+ event.,https://www.skiddle.com/whats-on/Norwich/Epic-Studios/,,approved
72,Norwich Market Christmas Shopping,2025-12-21,09:00,Norwich Market,markets,"Last-minute Christmas shopping at Norwich Market. Fresh produce, gifts, and festive treats from local vendors.",,,approved
73,Sunday Folk Session,2025-12-22,14:00,The Murderers Pub,gigs,"Traditional folk music session. Bring your instruments or just enjoy the tunes. Free entry, all welcome.",,,approved
74,Christmas Carol Service,2025-12-22,18:00,Norwich Cathedral,free,"Traditional Christmas carol service with the cathedral choir. Beautiful candlelit service, all welcome.",,,approved
75,Monday Night Quiz,2025-12-23,20:00,The Plough,community,"Weekly pub quiz with festive round! Teams of up to 6, prizes for winners. Free entry.",,,approved
76,Christmas Eve at The Forum,2025-12-24,11:00,"The Forum, Millennium Plain",free,"Christmas Eve celebrations with carol singers, hot chocolate, and festive activities for families.",,,approved
77,Christmas Eve DJ Night,2025-12-24,21:00,Revolucion De Cuba Norwich,nightlife,"Pre-Christmas celebration with live DJs, cocktails, and Latin vibes. Get in the party spirit!",,,approved
78,Boxing Day Football Screening,2025-12-26,15:00,The Coach and Horses,sports,Watch the Premier League Boxing Day fixtures on the big screen. Food and drinks available.,,,approved
79,Boxing Day Walk,2025-12-26,10:00,Earlham Park,free,Post-Christmas walk to burn off those extra calories! Casual 5k walk around Earlham Park. All welcome.,,,approved
80,After-Christmas Sales at Norwich Lanes,2025-12-27,09:00,Norwich Lanes,markets,Boxing Day sales continue! Browse independent shops in the historic Norwich Lanes for amazing deals.,,,approved
81,End of Year House Party,2025-12-28,22:00,Waterfront Norwich,nightlife,Pre-NYE party with house and techno DJs. Get ready for New Year with this massive club night!,https://www.waterfrontnorwich.com/,,approved
82,New Year's Eve Prep Workshop,2025-12-30,14:00,"The Forum, Millennium Plain",community,Make your own NYE decorations and party poppers! Free workshop for families.,,,approved
1,4am Kru - Norwich,2026-02-20,22:00,Epic Studios,nightlife,4am Kru land in Norwich for an immersive take in live jungle.,https://www.skiddle.com/whats-on/Norwich/Epic-Studios/4am-Kru---Norwich/41585204/,,approved
2,New Year's Eve at RevoluciÃ³n de Cuba Norwich,2025-12-31,20:00,Revolucion De Cuba Norwich,nightlife,"Bring in AÃ±o Nuevo the Cuban way - with live music, rum cocktails, samba vibes, and Latin heat all night long for 2026.",https://www.skiddle.com/whats-on/Norwich/Revolucion-De-Cuba-Norwich/New-Years-Eve-at-Revolucin-de-Cuba-Norwich/41472569/,,approved
3,90s Baby Daytime Clubbing - With The Over 30s Club,2026-01-31,15:00,Above Kerry's Norwich,nightlife,"The ultimate party for grown-ups - club classics, top DJs, and it's all done by 8PM. No kids, no drama.",https://www.skiddle.com/whats-on/Norwich/Above-Kerry%27s-Norwich/90s-Baby-Daytime-Clubbing---With-The-Over-30s-Club/41592449/,,approved
4,Raw Material,2026-03-07,20:00,Kudos Bar And Nightclub,nightlife,Raw Material return to Norwich in 2026 with a heavyweight TBA.,https://www.skiddle.com/whats-on/Norwich/Kudos-Bar-And-Nightclub/Raw-Material/41495013/,,approved
5,The Greatest MUSICALS Daytime Disco - Norwich,2026-02-07,13:00,"Be At One, Norwich",nightlife,"Expect music from Hamilton, Grease, Dirty Dancing, High School Musical, Wicked & Mama Mia to The Greatest Showman, Frozen & Six.",https://www.skiddle.com/whats-on/Norwich/Be-At-One/The-Greatest-MUSICALS-Daytime-Disco---Norwich/41364501/,,approved
6,Symphonic Ibiza Orchestra | Earlham Park Concert,2026-06-12,17:00,Earlham Park,culture,The Symphonic Ibiza Orchestra comes to Norwich! Prepare for an unforgettable night as a 40-piece orchestra performs the greatest Ibiza dance anthems.,https://www.skiddle.com/whats-on/Norwich/Earlham-Park/Symphonic-Ibiza-Orchestra--Earlham-Park-Concert/41445961/,,approved
7,The Specials Ltd. 'Ghost Town' 45th Anniversary,2026-03-20,19:00,The Adrian Flux Waterfront,gigs,Celebrating the 45th anniversary of The Specials' classic #1 single 'Ghost Town'.,https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/The-Specials-Ltd-Ghost-Town-45th-Anniversary/41293774/,,approved
8,New Year's Eve Celebration 2026,2025-12-31,21:00,"The Forum, Millennium Plain",nightlife,"Ring in 2026 with a spectacular celebration at The Forum! Live music, DJ sets, fireworks display at midnight.",https://example.com/tickets/nye-2026,,approved
9,January Sales Market,2026-01-03,09:00,Norwich Market,markets,Post-holiday shopping with incredible deals from local vendors. First Saturday of the new year!,,,approved
10,Winter Comedy Night,2026-01-15,20:00,Gonzo's Tea Room,culture,Beat the January blues with an evening of stand-up comedy featuring local and touring comedians.,https://example.com/tickets/comedy-night,,approved
11,Norwich Half Marathon 2026,2026-02-14,09:00,Chapelfield Gardens (Start),sports,13.1 miles through historic Norwich. Valentine's Day run for all abilities. Register now!,https://example.com/tickets/half-marathon,,approved
12,Pancake Day Community Cook-Off,2026-02-24,11:00,Eaton Park Community Centre,community,"Free community event! Pancake cooking competition, toppings bar, and family fun activities.",,,approved
13,Norwich Music Festival,2026-06-15,18:00,"The Forum, Millennium Plain",gigs,A celebration of local music talent featuring performances from Norwich's best artists. Join us for an evening of live music across multiple stages.,https://example.com/tickets/norwich-music-festival,,approved
14,Norwich Night Market,2026-07-20,17:00,Norwich Market,markets,"Evening market with local vendors, food stalls, and live entertainment. Perfect for a summer evening out.",,,approved
15,Norwich Arts Centre Live,2026-08-10,19:30,Norwich Arts Centre,culture,"An evening of live performances featuring local and touring artists. Intimate venue, great acoustics.",https://example.com/tickets/arts-centre,,approved
16,Community Garden Workshop,2026-05-25,10:00,Eaton Park Community Garden,community,"Learn sustainable gardening techniques and connect with your community. Free event, all welcome.",,,approved
17,Norwich City FC Match,2026-09-05,15:00,Carrow Road,sports,Watch Norwich City FC take on their rivals in this exciting home match.,https://example.com/tickets/ncfc,,approved
18,Theatre Royal: Local Production,2026-07-08,19:45,Theatre Royal Norwich,theatre,"A stunning local production showcasing Norwich's theatrical talent. Limited run, book early.",https://example.com/tickets/theatre,,approved
19,Norwich Food & Drink Festival,2026-08-30,12:00,Chapelfield Gardens,free,"Free entry food and drink festival featuring local producers, street food, and live music.",,,approved
20,Late Night Club Night,2026-06-28,22:00,Waterfront Norwich,nightlife,Dance the night away with top DJs and live performances. 18+ event.,https://example.com/tickets/club-night,,approved
21,St. Patrick's Day Parade & Festival,2026-03-17,12:00,Norwich City Centre,free,"Celebrate St. Patrick's Day with a parade, Irish music, food stalls, and family activities. Free entry.",,,approved
22,Spring Jazz Night,2026-04-10,19:30,Norwich Arts Centre,gigs,An evening of smooth jazz featuring the Norwich Jazz Collective and special guests.,https://example.com/tickets/jazz-night,,approved
23,Earth Day Beach Clean-Up,2026-04-22,10:00,Gorleston Beach,community,Join us for an Earth Day beach clean-up! Equipment provided. Refreshments afterwards.,,,approved
24,Norwich Craft Beer Festival,2026-05-02,14:00,"The Halls, St. Andrew's",nightlife,Sample over 100 craft beers from local and international breweries. 18+ event.,https://example.com/tickets/beer-fest,,approved
25,Shakespeare in the Park,2026-06-20,18:00,Eaton Park,theatre,Outdoor theatrical performance of A Midsummer Night's Dream. Bring a picnic and blanket!,https://example.com/tickets/shakespeare,,approved
26,Norwich Pride 2026,2026-07-25,11:00,Norwich City Centre,free,"Annual Pride celebration with parade, live music, performances, and community stalls. All welcome!",,,approved
27,Electric Warehouse Rave,2026-08-14,23:00,The Warehouse Norwich,nightlife,Underground techno and house music event. International DJs. 18+ ID required.,https://example.com/tickets/warehouse-rave,,approved
28,Norwich Film Festival,2026-09-12,10:00,Cinema City,culture,Week-long film festival showcasing independent and international cinema. Multiple screenings daily.,https://example.com/tickets/film-festival,,approved
29,Autumn Farmers Market,2026-10-03,08:00,Norwich Market,markets,"Fresh local produce, artisan goods, and seasonal treats. Support local farmers and makers.",,,approved
30,Halloween Ghost Walk,2026-10-31,19:00,Norwich Cathedral (Start),culture,Spooky guided tour through historic Norwich. Hear tales of ghosts and legends. Family-friendly.,https://example.com/tickets/ghost-walk,,approved
31,Bonfire Night Spectacular,2026-11-05,18:00,Earlham Park,free,"Fireworks display, bonfire, food stalls, and family entertainment. Free entry, donations welcome.",,,approved
32,Norwich Christmas Market,2026-11-28,10:00,Norwich Market & Forum,markets,"Traditional Christmas market with festive gifts, food, and entertainment. Runs through December.",,,approved
33,New Year's Eve at Revolución de Cuba Norwich,2026-12-31,20:00,Revolucion De Cuba Norwich,nightlife,"Bring in Año Nuevo the Cuban way - with live music, rum cocktails, samba vibes, and Latin heat all night long for 2026.",https://www.skiddle.com/whats-on/Norwich/Revolucion-De-Cuba-Norwich/New-Years-Eve-at-Revolucin-de-Cuba-Norwich/41472569/,,approved
34,The Style Councillors,2026-05-08,19:00,The Adrian Flux Waterfront,gigs,'Our Favourite Shop' 40th Anniversary Tour.,https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/The-Style-Councillors/41099618/,,pending
35,Tyketto,2026-04-14,19:30,The Adrian Flux Waterfront,gigs,Tyketto performs live at The Adrian Flux Waterfront in Norwich.,https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/Tyketto/41619746/,,approved
36,The Gerry Cinna-Man Experience,2026-04-03,19:00,The Brickmakers,gigs,The Gerry Cinna-Man Experience comes back to The Brickmakers in Norwich for what will be an absolute BELTER of a night.,https://www.skiddle.com/whats-on/Norwich/The-Brickmakers/The-Gerry-Cinna-Man-Experience/41572948/,,approved
37,Clearwater Creedence Revival + Ten Years After,2026-04-16,19:00,The Adrian Flux Waterfront,gigs,Clearwater Creedence Revival and Ten Years After perform as part of the Fortunate Son Tour.,https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/Clearwater-Creedence-Revival--Ten-Years-After/41438123/,,approved
38,Country Club - Country Music Festival - Norwich,2026-03-21,18:00,Epic Studios,community,The UK's first ever country music day party is riding back to Norwich for the ultimate hoedown in March 2026!,https://www.skiddle.com/whats-on/Norwich/Epic-Studios/Country-Club---Country-Music-Festival---Norwich/41499183/,,approved
39,Country Club - Outdoor Country Music Festival - Norwich,2026-07-04,15:00,Junkyard,community,The UK's first ever outdoor country music day party is riding into Norwich for the ultimate hoedown in July 2026!,https://www.skiddle.com/whats-on/Norwich/Junkyard/Country-Club---Outdoor-Country-Music-Festival---Norwich/41499201/,,approved
40,Gin & Rum Festival - Norwich - 2026,2026-07-04,12:30,St Andrews Hall Norwich,community,The UK's Biggest Touring Gin and Rum Festival Returns to Norwich for ONE Weekend Only.,https://www.skiddle.com/whats-on/Norwich/St-Andrews-Hall-Norwich/Gin--Rum-Festival---Norwich---2026/41295144/,,approved
41,DIVORCE,2025-12-05,20:00,Norwich Arts Centre,gigs,A rock/pop event featuring the band DIVORCE.,https://norwichartscentre.co.uk/event/divorce/,,approved
42,Rock/Pop Concert,2025-12-05,20:00,Norwich Arts Centre,gigs,An exciting night of rock and pop music featuring various artists.,https://norwichartscentre.co.uk/event/category/music/,,approved
43,Winter Footwear and Coats Collection,2025-12-06,10:00,Norwich Arts Centre,community,A collection event for winter footwear and coats.,https://norwichartscentre.co.uk/event/winter-footwear-and-coats-collection/,,approved
44,Clutter City Winter Market,2025-12-06,11:00,Norwich Arts Centre,markets,"A vibrant winter market featuring local artisans and craftspeople, perfect for Christmas shopping.",https://norwichartscentre.co.uk/event/clutter-city-winter-market/,,approved
45,Christmas Community Event,2025-12-06,11:00,Norwich Arts Centre,community,Join us for a festive celebration filled with community spirit and holiday cheer.,https://norwichartscentre.co.uk/event/category/christmas/,,approved
46,BOHO XMAS BINGO,2025-12-17,20:30,Bowling House,nightlife,Join us for a festive bingo night filled with fun and prizes.,https://www.eventbrite.co.uk/e/boho-xmas-bingo-wed-17th-dec-2025-830pm-show-tickets-1680417456849?aff=ebdssbcitybrowsenightlife,,approved
47,Event,2025-12-06,10:00,Norwich Arts Centre,culture,Event at Norwich Arts Centre.,https://www.norwichartscentre.co.uk/whats-on/,,approved
48,Drum and Bass Classics - Norwich,2026-01-30,22:30,The Adrian Flux Waterfront,nightlife,"Step back in time to the golden era of Drum & Bass, when classics were made & legends born!",https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/Drum-and-Bass-Classics---Norwich/41655104/,,approved
49,Martin Kemp Live DJ Set - Back to the 80s,2026-02-21,19:30,Epic Studios,nightlife,The Spandau Ballet star returns to the decks and spinning all the best of the hits from the 80's. As he presents the biggest 80's night in Norwich.,https://www.skiddle.com/whats-on/Norwich/Epic-Studios/Martin-Kemp-Live-DJ-Set---Back-to-the-80s---Norwich/41589884/,,approved
50,Special Kinda Madness: Norwich,2026-06-13,19:00,The Adrian Flux Waterfront,gigs,"A Specials Tribute Band and a Madness Tribute Band, all on one stage. That's Special Kinda Madness.",https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/Special-Kinda-Madness-Norwich/41735690/,,approved
51,Aladdinsane - The Sound & Vision of Bowie tribute,2026-09-12,19:30,The Adrian Flux Waterfront,gigs,"Aladdinsane, The Sound & Vision of Bowie, widely acclaimed as the best Bowie tribute in the UK.",https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/Aladdinsane---The-Sound--Vision-of-Bowie-tribute-Norwich/41654510/,,approved
52,Ultimate RnB return to Waterfront / Norwich,2026-04-24,19:30,The Adrian Flux Waterfront,gigs,Ultimate RnB return to Waterfront with three killer vocalists and a tight band performing every RnB anthem you ever danced or fell in love to.,https://www.skiddle.com/whats-on/Norwich/The-Adrian-Flux-Waterfront/Ultimate-RnB-return-to-Waterfront--Norwich/41776598/,,approved
53,Music Worldwide Drum Camp,2026-09-03,14:00,Hulver Farm,culture,"Drum Camp presents over 120 workshops in world percussion, music, song & dance across 10 venues and 4 nights of concert performances.",https://www.skiddle.com/whats-on/Norwich/Hulver-Farm/Music-Worldwide-Drum-Camp/41433585/,,approved
54,Earlham Park Tribute Festival,2026-06-13,12:00,Earlham Park,community,"Get ready for two unforgettable days of music, fun, and pure entertainment! Join us at Earlham Park for The Ultimate Tribute Festival Experience!",https://www.skiddle.com/whats-on/Norwich/Earlham-Park/Earlham-Park-Tribute-Festival/41652617/,,approved
55,DEMON HUNTERZ - K-pop Party,2026-11-06,18:00,Dereham Memorial Hall,nightlife,Get ready for the Ultimate K-POP PARTY featuring all-live performances.,https://www.skiddle.com/whats-on/Norwich/Dereham-Memorial-Hall%2C-UK/DEMON-HUNTERZ---K-pop-Party/41452390/,,approved
56,DEMON HUNTERZ - K-pop Party,2026-05-23,19:00,Dereham Memorial Hall,nightlife,"Get ready for the Ultimate K-POP PARTY coming to the Dereham Memorial Hall, Featuring all-live performances of smash-hits.",https://www.skiddle.com/whats-on/Norwich/Dereham-Memorial-Hall%2C-UK/DEMON-HUNTERZ---K-pop-Party/41293839/,,approved
57,NAC Christmas Quiz,2025-12-18,20:00,Norwich Arts Centre,community,Join us for a fun-filled Christmas quiz at the Norwich Arts Centre.,https://norwichartscentre.co.uk/event/nac-christmas-quiz/,,approved
58,Christmas Community Music Event,2025-12-18,20:00,Norwich Arts Centre,community,Join us for a festive evening of music and community spirit at the Norwich Arts Centre.,https://norwichartscentre.co.uk/event/category/christmas/,,approved
59,Event,2025-12-18,20:00,Norwich Arts Centre,culture,An event at the Norwich Arts Centre.,https://www.norwichartscentre.co.uk/whats-on/,,approved
60,ReWork Christmas,2025-12-20,20:00,Norwich Arts Centre,gigs,Join us for a festive night of music with ReWork Christmas.,https://norwichartscentre.co.uk/event/rework-christmas/,,approved
61,Christmas Music Rock/Pop,2025-12-20,20:00,Norwich Arts Centre,gigs,A festive evening of Christmas music featuring rock and pop performances.,https://norwichartscentre.co.uk/event/category/christmas/,,approved
62,True Stories Live: Celebrate,2025-12-21,19:30,Norwich Arts Centre,community,An event celebrating true stories shared by various storytellers.,https://norwichartscentre.co.uk/event/true-stories-live-celebrate/,,approved
63,Warehouse Day Party - Rumble x Touchbase,2025-02-08,13:00,Norfolk Showground Arena,nightlife,Rumble & Touchbase join forces with a huge D&B lineup and the Shakedown Audio sound system. East Anglia's longest running D&B nights.,https://drumandbassuk.com/event/warehouse-day-party-rumble-x-touchbase-2025-02-08-4381,,approved
64,Party in the Park 2025 - Rumble x Breakin Science,2025-09-06,13:00,Royal Norfolk Show Showground,nightlife,"Massive outdoor D&B all-dayer! Rumble teams up with Breakin Science for multiple arenas featuring drum & bass, jungle, house, garage, and old school anthems. Licensed bars, food vendors, fairground attractions. 18+ event.",https://www.skiddle.com/whats-on/Norwich/Royal-Norfolk-Show-Showground/Party-in-the-Park-2025--Drum--Bass-All-Dayer--Norfolk/41049626/,,approved
65,Fruity Licks - UKG/Bassline/House Night,2026-01-15,21:00,Qube Norwich,nightlife,Underground UKG / Bassline / House event featuring Charlotte Devaney & the Fruity Licks residents. One of Norwich's premier club nights. 18+ event.,https://www.skiddle.com/whats-on/Norwich/Qube/,,approved
66,RAW FREQUENCIES: The Launch - Drum & Bass,2025-09-05,20:00,Kudos Bar And Nightclub,nightlife,RAW FREQUENCIES launch event at Kudos Norwich. Premium drum & bass night featuring top DJs and sound system.,https://happeningnext.com/event/raw-frequencies-the-launch-%C3%A2%C2%80%C2%94-kudos-norwich-eid1p9vgj3vtaa,,approved
67,Fruity Licks - UKG/Bassline/House,2025-12-20,21:00,Qube Norwich,nightlife,"Underground UKG, Bassline & House event featuring Charlotte Devaney & Fruity Licks residents. Norwich's premier club night for UKG and bassline lovers.",https://www.skiddle.com/whats-on/Norwich/Qube/,,approved
68,Fruity Licks - UKG/Bassline/House,2026-02-20,21:00,Qube Norwich,nightlife,"Underground UKG, Bassline & House event featuring Charlotte Devaney & Fruity Licks residents. Norwich's premier club night for UKG and bassline lovers.",https://www.skiddle.com/whats-on/Norwich/Qube/,,approved
69,Fruity Licks - UKG/Bassline/House,2026-03-20,21:00,Qube Norwich,nightlife,"Underground UKG, Bassline & House event featuring Charlotte Devaney & Fruity Licks residents. Norwich's premier club night for UKG and bassline lovers.",https://www.skiddle.com/whats-on/Norwich/Qube/,,approved
